6419,131.000,557.000,35.000,1.000,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000
6667,16.000,112.000,17.000,1.000,1,20.160,20.160,0.000,26.000,-5.840,20.160,20.160,0.000,26.000,-5.840,0.180000,0.180000,0.000000,0.232142,-0.052142
6689,180.000,3528.000,79.000,2.000,1,176.400,176.400,0.000,131.000,45.400,176.400,176.400,0.000,131.000,45.400,0.050000,0.050000,0.000000,0.037131,0.012868
6729,1520.000,41920.000,897.000,19.000,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000
6735,459.000,12589.000,240.000,6.000,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000
6905,305.000,3794.000,95.000,3.000,1,411.817,411.817,0.000,69.000,342.817,411.817,411.817,0.000,69.000,342.817,0.108555,0.108555,0.000000,0.018188,0.090367
6957,1874.000,31495.000,779.000,16.000,1,0.080,0.080,0.000,0.000,0.080,0.080,0.080,0.000,0.000,0.080,0.000002,0.000002,0.000000,0.000000,0.000002
7022,53.000,366.000,5.000,1.000,1,40.227,40.227,0.000,54.000,-13.773,40.227,40.227,0.000,54.000,-13.773,0.110000,0.110000,0.000000,0.147662,-0.037662
7024,63.000,383.000,13.000,1.000,1,67.602,67.602,0.000,71.000,-3.398,67.602,67.602,0.000,71.000,-3.398,0.176714,0.176714,0.000000,0.185596,-0.008882
7053,84.000,648.000,38.000,1.000,3,65.616,65.616,0.000,0.000,65.616,196.848,196.848,0.000,0.000,196.848,0.101409,0.101409,0.000000,0.000000,0.101409
7133,436.000,11296.000,288.000,7.000,1,1954.000,1954.000,0.000,2116.000,-162.000,1954.000,1954.000,0.000,2116.000,-162.000,0.172983,0.172983,0.000000,0.187325,-0.014341
7147,44.000,1765.000,40.000,1.000,1,261.000,261.000,0.000,1111.000,-850.000,261.000,261.000,0.000,1111.000,-850.000,0.147925,0.147925,0.000000,0.629675,-0.481750
7334,267.000,2634.000,175.000,3.000,2,950.000,950.000,0.000,763.000,187.000,1900.000,1900.000,0.000,1526.000,374.000,0.360791,0.360791,0.000000,0.289772,0.071018
7365,837.000,7971.000,407.000,9.000,1,1590.185,1590.185,0.000,1527.000,63.185,1590.185,1590.185,0.000,1527.000,63.185,0.199516,0.199516,0.000000,0.191588,0.007927
7682,127.000,2080.000,54.000,1.000,1,147.105,147.105,0.000,112.000,35.105,147.105,147.105,0.000,112.000,35.105,0.070735,0.070735,0.000000,0.053855,0.016880
7684,93.000,1501.000,41.000,1.000,1,183.780,183.780,0.000,242.000,-58.220,183.780,183.780,0.000,242.000,-58.220,0.122446,0.122446,0.000000,0.161236,-0.038790
7701,87.000,1268.000,96.000,2.000,1,246.668,246.668,0.000,46.000,200.668,246.668,246.668,0.000,46.000,200.668,0.194605,0.194605,0.000000,0.036291,0.158314
7724,48.000,1085.000,24.000,1.000,1,220.800,220.800,0.000,183.000,37.800,220.800,220.800,0.000,183.000,37.800,0.203539,0.203539,0.000000,0.168694,0.034845
